   Time     Util N  Util P  Cell Pot   Uocp      Curr      Temp   heatgen
   (min)       x       y      (V)       (V)      (A/m2)    (C)    (W/m2)
  
   38.344, 0.0433, 0.8259,  2.36146,  3.59616,    35.00,  24.85,  43.20, 
   38.408, 0.0423, 0.8264,  2.22266,  3.59487,    35.00,  24.85,  48.01, 
   38.440, 0.0419, 0.8267,  2.14724,  3.59418,    35.00,  24.85,  50.62, 
   38.475, 0.0414, 0.8270,  2.05927,  3.59339,    35.00,  24.85,  53.67, 
   38.480, 0.0413, 0.8270,  2.04674,  3.59328,    35.00,  24.85,  54.11, 
   38.483, 0.0413, 0.8271,  2.03935,  3.59322,    35.00,  24.85,  54.36, 
   38.484, 0.0412, 0.8271,  2.03410,  3.59318,    35.00,  24.85,  54.55, 
   38.485, 0.0412, 0.8271,  2.03010,  3.59316,    35.00,  24.85,  54.69, 
   38.485, 0.0412, 0.8271,  2.02849,  3.59316,    35.00,  24.85,  54.75, 
   38.485, 0.0412, 0.8271,  2.02713,  3.59316,    35.00,  24.85,  54.79, 
   38.485, 0.0412, 0.8271,  2.02674,  3.59316,    35.00,  24.85,  54.81, 
   38.485, 0.0412, 0.8271,  2.02663,  3.59316,    35.00,  24.85,  54.81, 
